Layer_25, torch.Size([155, 8]), 147.0, 112, 103.0
Layer_26, torch.Size([155, 8]), 155.0, 118, 108.0
Layer_27, torch.Size([155, 8]), 146.5, 112, 103.0
Layer_28, torch.Size([155, 8]), 145.5, 115, 103.0
Layer_29, torch.Size([155, 8]), 145.5, 112, 103.0
Layer_30, torch.Size([155, 8]), 131.0, 108, 94.5
Layer_31, torch.Size([155, 8]), 120.5, 99, 86.5
Layer_32, torch.Size([155, 8]), 144.5, 112, 101.5
Layer_33, torch.Size([155, 8]), 143.0, 113, 100.5
Layer_34, torch.Size([155, 8]), 158.0, 118, 109.0
Layer_35, torch.Size([155, 8]), 154.5, 111, 106.0
Layer_36, torch.Size([155, 8]), 155.0, 117, 107.5
Layer_37, torch.Size([155, 8]), 162.5, 121, 112.0
Layer_38, torch.Size([155, 8]), 150.0, 112, 103.5
Layer_39, torch.Size([155, 8]), 149.0, 109, 103.5
Layer_40, torch.Size([155, 8]), 153.5, 114, 106.5
Layer_41, torch.Size([155, 8]), 142.5, 110, 99.0
Layer_42, torch.Size([155, 8]), 149.5, 108, 102.5
Layer_43, torch.Size([155, 8]), 147.5, 111, 102.5
Layer_44, torch.Size([155, 8]), 149.5, 112, 104.0
Layer_45, torch.Size([155, 8]), 142.5, 106, 98.5
Layer_46, torch.Size([155, 8]), 144.5, 110, 101.5
Layer_47, torch.Size([155, 8]), 149.5, 111, 104.0
